frag_ID,rmax,topt,e,PR,species,full_species,dw_mg_cm2,dw_log,afdw_mg_cm2,afdw_log,chla_ug_cm2_mean,chla_log,chla_pg_sym,chla_sym_log,sym_cm2,sym_log,prot_ug_cm2,prot_log
H01,0.42,27.4,0.31,NetPhoto,Maeq,Montipora aequituberculata,53.3788940103864,3.977415424585757,11.0937474562385,2.406381657378852,4.172394509832274,1.4284900939891407,1.922832114197336,0.6537991586858674,2169921.37744381,14.590201493267548,838.2676232,6.731337408924923
H01,0.63,31.87,0.48,Respiration,Maeq,Montipora aequituberculata,53.3788940103864,3.977415424585757,11.0937474562385,2.406381657378852,4.172394509832274,1.4284900939891407,1.922832114197336,0.6537991586858674,2169921.37744381,14.590201493267548,838.2676232,6.731337408924923
H01,1.01,30.09,0.29,GrossPhoto,Maeq,Montipora aequituberculata,53.3788940103864,3.977415424585757,11.0937474562385,2.406381657378852,4.172394509832274,1.4284900939891407,1.922832114197336,0.6537991586858674,2169921.37744381,14.590201493267548,838.2676232,6.731337408924923
H02,0.53,28.18,0.32,NetPhoto,Maeq,Montipora aequituberculata,86.4519179522255,4.459588397565393,19.370429736664,2.963747662854995,5.210276647315402,1.6506329536483415,4.490550360989467,1.5019752690730983,1160275.74093776,13.964168242539513,735.2958645,6.600272954951355
H02,0.27,32.13,0.39,Respiration,Maeq,Montipora aequituberculata,86.4519179522255,4.459588397565393,19.370429736664,2.963747662854995,5.210276647315402,1.6506329536483415,4.490550360989467,1.5019752690730983,1160275.74093776,13.964168242539513,735.2958645,6.600272954951355
H02,0.78,29.12,0.26,GrossPhoto,Maeq,Montipora aequituberculata,86.4519179522255,4.459588397565393,19.370429736664,2.963747662854995,5.210276647315402,1.6506329536483415,4.490550360989467,1.5019752690730983,1160275.74093776,13.964168242539513,735.2958645,6.600272954951355
H03,NA,NA,NA,NA,NA,NA,113.969460441357,4.7359305216400385,23.7177287122698,3.166222815424646,7.950459915430695,2.073229777990508,4.917665995975861,1.5928340268833607,1616714.09199742,14.295906309071421,659.5664225,6.491582683537666
H04,1.05,29.74,0.46,GrossPhoto,Maeq,Montipora aequituberculata,88.154193658213,4.4790874818269915,21.0719454139149,3.047942554541747,8.069299871041263,2.0880667215221256,3.2909729599674247,1.1911832535699354,2451949.61161915,14.712394025916463,1331.850277,7.1943244401278035
H04,0.66,29,0.49,NetPhoto,Maeq,Montipora aequituberculata,88.154193658213,4.4790874818269915,21.0719454139149,3.047942554541747,8.069299871041263,2.0880667215221256,3.2909729599674247,1.1911832535699354,2451949.61161915,14.712394025916463,1331.850277,7.1943244401278035
H05,NA,NA,NA,NA,NA,NA,70.235243963224,4.251850235804626,17.4310176065936,2.858251240305857,6.0059384361418955,1.792748719115978,3.1712048811085136,1.1541116043515505,1893897.95403017,14.454147672728704,1389.20939,7.236490080132995
H06,NA,NA,NA,NA,NA,NA,59.197392963852,4.080877503147499,14.9251217387616,2.7030458159463446,8.98166439502389,2.195185209797358,6.1035403876248955,1.8088689942312268,1471549.92424306,14.201826773530403,1876.591969,7.537212628298673
H07,1.07,29.82,0.11,GrossPhoto,Maeq,Montipora aequituberculata,62.0475311218173,4.127900722330705,14.2919769784878,2.6596983293627625,7.862120831664295,2.0620563959561387,3.1566045483672696,1.1494969398887154,2490689.19188212,14.728070014031697,1176.403845,7.0702174751206055
H07,0.72,28.18,0.09,NetPhoto,Maeq,Montipora aequituberculata,62.0475311218173,4.127900722330705,14.2919769784878,2.6596983293627625,7.862120831664295,2.0620563959561387,3.1566045483672696,1.1494969398887154,2490689.19188212,14.728070014031697,1176.403845,7.0702174751206055
H08,0.44,31.59,0.57,Respiration,Maeq,Montipora aequituberculata,53.4748122740566,3.9792107444257314,12.6456661625334,2.537314560627003,8.611157028650343,2.1530586913682597,3.5503852390659865,1.267056115646424,2425414.83495908,14.701513133686115,1295.953066,7.1670016617502865
H08,0.45,28.71,0.59,NetPhoto,Maeq,Montipora aequituberculata,53.4748122740566,3.9792107444257314,12.6456661625334,2.537314560627003,8.611157028650343,2.1530586913682597,3.5503852390659865,1.267056115646424,2425414.83495908,14.701513133686115,1295.953066,7.1670016617502865
