frag_ID,species_long,species,rep,image_no,image_id
G06,Echinopora lamellosa,Elam,3,1,P8174822
G06,Echinopora lamellosa,Elam,3,2,P8174823
G06,Echinopora lamellosa,Elam,4,1,P8174824
G06,Echinopora lamellosa,Elam,4,2,P8174825
G06,Echinopora lamellosa,Elam,5,1,P8174826
G06,Echinopora lamellosa,Elam,5,2,P8174827
G06,Echinopora lamellosa,Elam,6,1,P8174828
G06,Echinopora lamellosa,Elam,6,2,P8174829
G07,Echinopora lamellosa,Elam,1,1,P8174831
G07,Echinopora lamellosa,Elam,1,2,P8174832
G07,Echinopora lamellosa,Elam,2,1,P8174833
G07,Echinopora lamellosa,Elam,2,2,P8174834
G07,Echinopora lamellosa,Elam,3,1,P8174835
G07,Echinopora lamellosa,Elam,3,2,P8174836
G07,Echinopora lamellosa,Elam,4,1,P8174837
G07,Echinopora lamellosa,Elam,4,2,P8174838
G07,Echinopora lamellosa,Elam,5,1,P8174839
G07,Echinopora lamellosa,Elam,5,2,P8174840
G07,Echinopora lamellosa,Elam,6,1,P8174841
G07,Echinopora lamellosa,Elam,6,2,P8174842
G08,Echinopora lamellosa,Elam,1,1,P8174844
G08,Echinopora lamellosa,Elam,1,2,P8174845
G08,Echinopora lamellosa,Elam,2,1,P8174846
G08,Echinopora lamellosa,Elam,2,2,P8174847
G08,Echinopora lamellosa,Elam,3,1,P8174848
G08,Echinopora lamellosa,Elam,3,2,P8174849
G08,Echinopora lamellosa,Elam,4,1,P8174850
G08,Echinopora lamellosa,Elam,4,2,P8174851
G08,Echinopora lamellosa,Elam,5,1,P8174852
G08,Echinopora lamellosa,Elam,5,2,P8174853
G08,Echinopora lamellosa,Elam,6,1,P8174854
G08,Echinopora lamellosa,Elam,6,2,P8174855
G09,Echinopora lamellosa,Elam,1,1,P8174857
G09,Echinopora lamellosa,Elam,1,2,P8174858
G09,Echinopora lamellosa,Elam,2,1,P8174859
G09,Echinopora lamellosa,Elam,2,2,P8174860
G09,Echinopora lamellosa,Elam,3,1,P8174861
G09,Echinopora lamellosa,Elam,3,2,P8174862
G09,Echinopora lamellosa,Elam,4,1,P8174863
G09,Echinopora lamellosa,Elam,4,2,P8174864
G09,Echinopora lamellosa,Elam,5,1,P8174865
G09,Echinopora lamellosa,Elam,5,2,P8174866
G09,Echinopora lamellosa,Elam,6,1,P8174867
G09,Echinopora lamellosa,Elam,6,2,P8174868
G10,Echinopora lamellosa,Elam,1,1,P8174870
G10,Echinopora lamellosa,Elam,1,2,P8174871
G10,Echinopora lamellosa,Elam,2,1,P8174872
G10,Echinopora lamellosa,Elam,2,2,P8174873
G10,Echinopora lamellosa,Elam,3,1,P8174874
G10,Echinopora lamellosa,Elam,3,2,P8174875
G10,Echinopora lamellosa,Elam,4,1,P8174876
G10,Echinopora lamellosa,Elam,4,2,P8174877
G10,Echinopora lamellosa,Elam,5,1,P8174878
G10,Echinopora lamellosa,Elam,5,2,P8174879
G10,Echinopora lamellosa,Elam,6,1,P8174880
G10,Echinopora lamellosa,Elam,6,2,P8174881
H01,Montipora aequituberculata,Maeq,1,1,P8174883
H01,Montipora aequituberculata,Maeq,1,2,P8174884
H01,Montipora aequituberculata,Maeq,2,1,P8174885
H01,Montipora aequituberculata,Maeq,2,2,P8174886
H01,Montipora aequituberculata,Maeq,3,1,P8174887
H01,Montipora aequituberculata,Maeq,3,2,P8174888
H01,Montipora aequituberculata,Maeq,4,1,P8174889
H01,Montipora aequituberculata,Maeq,4,2,P8174890
H01,Montipora aequituberculata,Maeq,5,1,P8174891
H01,Montipora aequituberculata,Maeq,5,2,P8174892
H01,Montipora aequituberculata,Maeq,6,1,P8174893
H01,Montipora aequituberculata,Maeq,6,2,P8174894
H02,Montipora aequituberculata,Maeq,1,1,P8174896
H02,Montipora aequituberculata,Maeq,1,2,P8174897
H02,Montipora aequituberculata,Maeq,2,1,P8174898
H02,Montipora aequituberculata,Maeq,2,2,P8174899
H02,Montipora aequituberculata,Maeq,3,1,P8174900
