date ,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank ,chamber_channel,temp_c_level,temp_c_value
8/1/25,14:47,15:08,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,8,32
8/1/25,15:10,15:30,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,8,32
8/1/25,15:10,15:30,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,8,32
8/1/25,15:10,15:30,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,8,32
8/1/25,15:10,15:30,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,8,32
8/1/25,15:10,15:30,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,8,32
8/1/25,15:10,15:30,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,8,32
8/1/25,15:10,15:30,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,8,32
8/1/25,15:10,15:30,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,8,32
8/1/25,15:10,15:30,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,8,32
8/1/25,15:10,15:30,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,8,32
8/1/25,15:10,15:30,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,8,32
8/1/25,15:10,15:30,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,8,32
8/1/25,16:12,16:34,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,9,34
8/1/25,16:12,16:34,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,9,34
8/1/25,16:12,16:34,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,9,34
8/1/25,16:12,16:34,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,9,34
8/1/25,16:12,16:34,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,9,34
8/1/25,16:12,16:34,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,9,34
8/1/25,16:12,16:34,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,9,34
8/1/25,16:12,16:34,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,9,34
8/1/25,16:12,16:34,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,9,34
8/1/25,16:12,16:34,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,9,34
8/1/25,16:12,16:34,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,9,34
8/1/25,16:12,16:34,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,9,34
8/1/25,16:37,16:57,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,9,34
8/1/25,16:37,16:57,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,9,34
8/1/25,16:37,16:57,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,9,34
8/1/25,16:37,16:57,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,9,34
8/1/25,16:37,16:57,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,9,34
8/1/25,16:37,16:57,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,9,34
8/1/25,16:37,16:57,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,9,34
8/1/25,16:37,16:57,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,9,34
8/1/25,16:37,16:57,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,9,34
8/1/25,16:37,16:57,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,9,34
